,city,lat,lng,max temp,humidity,cloudiness,wind_speed,country,date
318,Almaznyy,48.04,40.05,46.4,70,0,6.71,RU,1597546119
319,San Miguel de Tucumán,-26.82,-65.22,51.8,62,0,10.29,AR,1597545837
320,Diapaga,12.07,1.79,71.1,91,8,5.14,BF,1597546119
321,Kiunga,-6.12,141.29,84.33,66,89,2.82,PG,1597546119
322,Aromashevo,56.86,68.64,58.57,69,92,13.2,RU,1597546119
323,Colquechaca,-18.67,-66.02,28.83,55,0,6.31,BO,1597546119
324,Diré,12.28,-10.97,72.16,95,82,2.84,ML,1597546120
325,Wilmington,34.23,-77.94,81.0,83,75,8.05,US,1597546074
326,Norsup,-16.07,167.38,78.8,83,75,9.17,VU,1597546120
327,Nouakchott,18.09,-15.98,81.1,76,46,14.99,MR,1597546120
328,Hofn,64.25,-15.21,52.65,79,100,7.49,IS,1597546120
329,Sechura,-5.56,-80.82,62.8,81,38,10.45,PE,1597546121
330,Flinders,-34.58,150.86,63.0,57,97,15.99,AU,1597546121
331,San Quintín,30.48,-115.95,74.53,69,0,7.54,MX,1597545964
332,Ereymentau,51.62,73.1,65.95,50,34,14.7,KZ,1597546121
333,Balikpapan,-1.27,116.83,78.55,85,99,8.59,ID,1597545921
334,Buedelsdorf,54.32,9.68,62.6,87,20,3.36,DE,1597546121
335,Jinka,5.65,36.65,63.54,80,100,3.44,ET,1597546121
336,São Filipe,14.9,-24.5,78.03,85,15,6.93,CV,1597546122
337,Exeter,50.72,-3.53,63.0,96,99,3.15,GB,1597545892
338,Soe,-9.86,124.28,84.25,32,9,8.46,ID,1597546122
339,Kondinskoye,59.65,67.41,50.88,76,56,8.28,RU,1597546122
340,Norman Wells,65.28,-126.83,59.0,77,75,8.05,CA,1597546122
341,Nouadhibou,20.93,-17.03,73.4,78,36,9.17,MR,1597546122
342,Ribeira Brava,32.65,-17.07,71.6,64,20,13.87,PT,1597546123
343,Cooma,-36.23,149.13,48.2,70,90,25.28,AU,1597546123
344,Souillac,-20.52,57.52,69.8,73,40,11.41,MU,1597546123
345,Tabou,4.42,-7.35,74.19,82,62,10.56,CI,1597546123
346,Thinadhoo,0.53,72.93,83.59,72,52,4.59,MV,1597546123
347,Sitka,57.05,-135.33,57.2,93,90,2.93,US,1597546124
348,Yate,51.54,-2.42,63.0,94,100,1.99,GB,1597546124
349,Arlit,18.74,7.39,88.16,50,55,9.04,NE,1597546124
350,Kavaratti,10.57,72.64,81.61,80,100,13.56,IN,1597546124
351,Kharan,28.58,65.42,90.64,51,44,4.52,PK,1597546124
352,Warmbad,-28.45,18.73,41.49,89,0,6.71,NA,1597546124
353,Mandiana,10.63,-8.68,69.91,93,100,3.44,GN,1597546124
354,Buala,-8.14,159.59,83.17,68,27,0.98,SB,1597546125
355,Gigmoto,13.78,124.39,84.29,74,100,3.22,PH,1597546125
356,Sørland,67.67,12.69,50.99,67,99,16.73,NO,1597546125
357,Rexburg,43.83,-111.79,82.4,21,1,6.93,US,1597546125
358,Myanaung,18.28,95.32,77.9,88,100,7.76,MM,1597546125
359,Santa Cruz,30.42,-9.6,64.4,82,0,0.18,MA,1597546126
360,Sūsangerd,31.56,48.18,78.8,44,0,2.24,IR,1597546126
361,Vestmanna,62.16,-7.17,53.6,100,90,2.98,FO,1597546126
